"id","answer"
"1","Nunca "
"2","Cada mes o menos "
"3","2 a 4 veces al mes"
"4","2 o más veces a la semana"
"5","4 o más veces a la semana "
"6","1 a 2"
"7","3 a 4 "
"8","5 a 6 "
"9","7 a 9 "
"10","10 o más "
"11","Nunca"
"12","Menos de una vez al mes"
"13","Una vez al mes"
"14","Una vez a la semana"
"15","Diario o casi diario"
"16","No"
"17","Sí, pero no en el último año "
"18","Sí, durante el último año "
"19",""""""
"20","Nunca o casi nunca."
"21","A veces"
"22","Con frecuencia."
"23","Siempre o casi siempre."
"24","Completamente falso de mí"
"25","La mayor parte falso de mí"
"26","Ligeramente más verdadero que falso"
"27","Moderadamente verdadero de mí"
"28","La mayor parte verdadero de mí "
"29","Me describe perfectamente"
"30","Nunca "
"31","Rara vez "
"32","Algunas veces "
"33","Casi siempre "
"34","Siempre "
"35","Nunca"
"36","Raramente"
"37","Un poco"
"38","A veces"
"39","A menudo"
"40","Siempre"
"41","No es en absoluto mi caso"
"42","Algunas veces es mi caso"
"43","Bastantes veces es mi caso "
"44","Muchas veces es mi caso"
"45","más de 60 minutos"
"46","31 - 60 minutos"
"47","entre 6 y 30 minutos"
"48","hasta 5 minutos"
"49","No"
"50","Si"
"51","Cualquier otro"
"52","El primero de la mañana"
"53","10 ó menos"
"54","11 - 20"
"55","21 - 30"
"56","31 o más"
"57","Muy en desacuerdo"
"58","En desacuerdo"
"59","Ni de acuerdo ni en desacuerdo "
"60","De acuerdo"
"61","Muy de acuerdo"
"62","No me siento triste"
"63","Me siento triste."
"64","Me siento triste continuamente y no puedo dejar de estarlo."
"65","Me siento tan triste o tan desgraciado que no puedo soportarlo."
"66","No me siento especialmente desanimado respecto al futuro."
"67","Me siento desanimado respecto al futuro."
"68","Siento que no tengo que esperar nada."
"69","Siento que el futuro es desesperanzador y las cosas no mejorarán."
"70","No me siento fracasado."
"71","Creo que he fracasado más que la mayoría de las personas."
"72","Cuando miro hacia atrás, sólo veo fracaso tras fracaso."
"73","Me siento una persona totalmente fracasada."
"74","Las cosas me satisfacen tanto como antes."
"75","No disfruto de las cosas tanto como antes."
"76","Ya no obtengo una satisfacción auténtica de las cosas."
"77","Estoy insatisfecho o aburrido de todo."
"78","No me siento especialmente culpable."
"79","Me siento culpable en bastantes ocasiones."
"80","Me siento culpable en la mayoría de las ocasiones."
"81","Me siento culpable constantemente."
"82","No creo que esté siendo castigado."
"83","Me siento como si fuese a ser castigado."
"84","Espero ser castigado."
"85","Siento que estoy siendo castigado."
"86","No estoy decepcionado de mí mismo."
"87","Estoy decepcionado de mí mismo."
"88","Me da vergüenza de mí mismo."
"89","Me detesto."
"90","No me considero peor que cualquier otro."
"91","Me autocritico por mis debilidades o por mis errores."
"92","Continuamente me culpo por mis faltas."
"93","Me culpo por todo lo malo que sucede."
"94","No tengo ningún pensamiento de suicidio."
"95","A veces pienso en suicidarme, pero no lo cometería."
"96","Desearía suicidarme."
"97","Me suicidaría si tuviese la oportunidad."
"98","No lloro más de lo que solía llorar."
"99","Ahora lloro más que antes."
"100","Lloro continuamente."
"101","Antes era capaz de llorar, pero ahora no puedo, incluso aunque quiera."
"102","No estoy más irritado de lo normal en mí."
"103","Me molesto o irrito más fácilmente que antes."
"104","Me siento irritado continuamente."
"105","No me irrito absolutamente nada por las cosas que antes solían irritarme."
"106","No he perdido el interés por los demás."
"107","Estoy menos interesado en los demás que antes."
"108","He perdido la mayor parte de mi interés por los demás."
"109","He perdido todo el interés por los demás."
