"id","question_id","answer_id","value","created_at","updated_at"
"1","1","1","0","2021-05-09 15:06:30","2021-05-09 15:06:30"
"2","1","2","1","2021-05-09 15:06:30","2021-05-09 15:06:30"
"3","1","3","2","2021-05-09 15:06:30","2021-05-09 15:06:30"
"4","1","4","3","2021-05-09 15:06:30","2021-05-09 15:06:30"
"5","1","5","4","2021-05-09 15:06:30","2021-05-09 15:06:30"
"6","2","6","0","2021-05-09 15:06:30","2021-05-09 15:06:30"
"7","2","7","1","2021-05-09 15:06:30","2021-05-09 15:06:30"
"8","2","8","2","2021-05-09 15:06:30","2021-05-09 15:06:30"
"9","2","9","3","2021-05-09 15:06:30","2021-05-09 15:06:30"
"10","2","10","4","2021-05-09 15:06:30","2021-05-09 15:06:30"
"11","3","11","0","2021-05-09 15:06:30","2021-05-09 15:06:30"
"12","3","12","1","2021-05-09 15:06:30","2021-05-09 15:06:30"
"13","3","13","2","2021-05-09 15:06:30","2021-05-09 15:06:30"
"14","3","14","3","2021-05-09 15:06:30","2021-05-09 15:06:30"
"15","3","15","4","2021-05-09 15:06:30","2021-05-09 15:06:30"
"16","4","11","0","2021-05-09 15:06:30","2021-05-09 15:06:30"
"17","4","12","1","2021-05-09 15:06:30","2021-05-09 15:06:30"
"18","4","13","2","2021-05-09 15:06:30","2021-05-09 15:06:30"
"19","4","14","3","2021-05-09 15:06:30","2021-05-09 15:06:30"
"20","4","15","4","2021-05-09 15:06:30","2021-05-09 15:06:30"
"21","5","11","0","2021-05-09 15:06:30","2021-05-09 15:06:30"
"22","5","12","1","2021-05-09 15:06:30","2021-05-09 15:06:30"
"23","5","13","2","2021-05-09 15:06:30","2021-05-09 15:06:30"
"24","5","14","3","2021-05-09 15:06:30","2021-05-09 15:06:30"
"25","5","15","4","2021-05-09 15:06:30","2021-05-09 15:06:30"
"26","6","11","0","2021-05-09 15:06:30","2021-05-09 15:06:30"
"27","6","12","1","2021-05-09 15:06:30","2021-05-09 15:06:30"
"28","6","13","2","2021-05-09 15:06:30","2021-05-09 15:06:30"
"29","6","14","3","2021-05-09 15:06:30","2021-05-09 15:06:30"
"30","6","15","4","2021-05-09 15:06:30","2021-05-09 15:06:30"
"31","7","11","0","2021-05-09 15:06:30","2021-05-09 15:06:30"
"32","7","12","1","2021-05-09 15:06:30","2021-05-09 15:06:30"
"33","7","13","2","2021-05-09 15:06:30","2021-05-09 15:06:30"
"34","7","14","3","2021-05-09 15:06:30","2021-05-09 15:06:30"
"35","7","15","4","2021-05-09 15:06:30","2021-05-09 15:06:30"
"36","8","11","0","2021-05-09 15:06:30","2021-05-09 15:06:30"
"37","8","12","1","2021-05-09 15:06:30","2021-05-09 15:06:30"
"38","8","13","2","2021-05-09 15:06:30","2021-05-09 15:06:30"
"39","8","14","3","2021-05-09 15:06:30","2021-05-09 15:06:30"
"40","8","15","4","2021-05-09 15:06:30","2021-05-09 15:06:30"
"41","9","16","0","2021-05-09 15:06:30","2021-05-09 15:06:30"
"43","9","17","2","2021-05-09 15:06:30","2021-05-09 15:06:30"
"45","9","18","4","2021-05-09 15:06:30","2021-05-09 15:06:30"
"46","10","16","0","2021-05-09 15:06:30","2021-05-09 15:06:30"
"48","10","17","2","2021-05-09 15:06:30","2021-05-09 15:06:30"
"50","10","18","4","2021-05-09 15:06:30","2021-05-09 15:06:30"
"51","11","20","1","2021-05-09 15:06:30","2021-05-09 15:06:30"
"52","11","21","2","2021-05-09 15:06:30","2021-05-09 15:06:30"
"53","11","22","3","2021-05-09 15:06:30","2021-05-09 15:06:30"
"54","11","23","4","2021-05-09 15:06:30","2021-05-09 15:06:30"
"55","12","20","1","2021-05-09 15:06:30","2021-05-09 15:06:30"
"56","12","21","2","2021-05-09 15:06:30","2021-05-09 15:06:30"
"57","12","22","3","2021-05-09 15:06:30","2021-05-09 15:06:30"
"58","12","23","4","2021-05-09 15:06:30","2021-05-09 15:06:30"
