"id","test_id","question_id","order","question"
"1","1",,"1","¿Con qué frecuencia toma bebidas alcohólicas?"
"2","1",,"2","¿Cuántas copas toma en un día? "
"3","1",,"3","¿Con qué frecuencia toma seis o más copas en una sola ocasión?"
"4","1",,"4","¿Cuántas veces en el último año notó que una vez que comenzó a tomar ya no podía parar? "
"5","1",,"5","¿Cuántas veces en el último año el tomar bebidas alcohólicas interfirió con sus actividades normales?"
"6","1",,"6","¿Cuántas veces en el último año tuvo que tomar un primer trago por la mañana para poder funcionar después de haber tomado el día anterior?"
"7","1",,"7","¿Cuántas veces en el último año tuvo remordimiento o sentimientos de culpa después de tomar bebidas alcohólicas?"
"8","1",,"8","¿Cuántas veces en el último año no ha podido recordar lo que pasó la noche anterior debido a que tomó bebidas alcohólicas?"
"9","1",,"9"," Debido a que tomó bebidas alcohólicas, ¿usted o alguien ha resultado lastimado? "
"10","1",,"10"," ¿Existe algún amigo, pariente o médico que conozca su consumo de bebidas alcohólicas o que le haya sugerido suspenderlo? "
"11","12",,"1","Me siento más intranquilo(a) y nervioso(a) que de costumbre."
"12","12",,"2","Me siento atemorizado(a) sin motivo."
"13","12",,"3","Me altero o agito con rapidez."
"14","12",,"4","Me siento hecho(a) pedazos."
"15","12",,"5","Creo que todo está bien y que no va a pasar nada malo"
"16","12",,"6","Me tiemblan las manos, los brazos y las piernas."
"17","12",,"7","Sufro dolores de cabeza, de cuello y de la espalda."
"18","12",,"8","Me siento débil y me canso fácilmente."
"19","12",,"9","Me siento tranquilo(a) y me es fácil estarme quieto(a)."
"20","12",,"10","Siento que el corazón me late aprisa"
"21","12",,"11","Sufro mareos (vértigos)."
"22","12",,"12","Me desmayo o siento que voy a desmayarme"
"23","12",,"13","Puedo respirar fácilmente"
"24","12",,"14","Se me duermen y me hormiguean los dedos de las manos y de los pies."
"25","12",,"15","Sufro dolores de estómago e indigestión"
"26","12",,"16","Tengo que orinar con mucha frecuencia."
"27","12",,"17","Por lo general tengo las manos secas y calientes"
"28","12",,"18","La cara se me pone caliente y roja."
"29","12",,"19","Duermo fácilmente y descanso bien por las noches."
"30","12",,"20","Tengo pesadillas"
"31","8",,"1","Me siento desamparado cuando estoy solo"
"32","8",,"2","Me preocupa la idea de ser abandonado por mi pareja"
"33","8",,"3","Para atraer a mi pareja busco deslumbrarla o divertirla"
"34","8",,"4","Hago todo lo posible por ser el centro de atención en la vida de mi pareja"
"35","8",,"5","Necesito constantemente expresiones de afecto de mi pareja"
"36","8",,"6","Si mi pareja no llama o no aparece a la hora acordada me angustia pensar que está enojada conmigo"
"37","8",,"7","Cuando mi pareja debe ausentarse por algunos días me siento angustiado"
"38","8",,"8","Cuando discuto con mi pareja me preocupa que deje de quererme"
"39","8",,"9","He amenazado con hacerme daño para que mi pareja no me deje"
"40","8",,"10","Soy alguien necesitado y débil"
"41","8",,"11","Necesito demasiado que mi pareja sea expresiva conmigo"
"42","8",,"12","Necesito tener a una persona para quien yo sea más especial que los demás"
"43","8",,"13","Cuando tengo una discusión con mi pareja me siento vacío"
"44","8",,"14","Me siento muy mal si mi pareja no me expresa constantemente el afecto"
"45","8",,"15","Siento temor a que mi pareja me abandone"
"46","8",,"16","Si mi pareja me propone un programa dejo todas las actividades que tenga para estar con ella"
"47","8",,"17","Si desconozco donde está mi pareja me siento intranquilo"
"48","8",,"18","Siento una fuerte sensación de vacío cuando estoy solo"
"49","8",,"19","No tolero la soledad"
"50","8",,"20","Soy capaz de hacer cosas temerarias, hasta arriesgar mi vida, por conservar el amor del otro"
"51","8",,"21","Si tengo planes y mi pareja aparece los cambio sólo por estar con ella"
"52","8",,"22","Me alejo demasiado de mis amigos cuando tengo una relación de pareja"
"53","8",,"23","Me divierto solo cuando estoy con mi pareja"
"54","6",,"1","Siento gran necesidad de permanecer conectado(a) a las redes sociales"
